ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
40000,18,First,45697,80000,3137
40000,18,25%,31255,80000,4736
40000,18,Median,52321,80000,4576
40000,19,First,45621,80000,3242
40000,19,25%,32447,80000,4448
40000,19,Median,50492,80000,4640
40000,20,First,45303,80000,3192
40000,20,25%,31525,80000,4450
40000,20,Median,52385,80000,4599
40000,21,First,45771,80000,3221
40000,21,25%,31252,80000,4595
40000,21,Median,50866,80000,4411
40000,22,First,45981,80000,3286
40000,22,25%,30153,80000,4656
40000,22,Median,51038,80000,4577
40000,23,First,46141,80000,3279
40000,23,25%,32279,80000,4725
40000,23,Median,50305,80000,4517
40000,24,First,45395,80000,3256
40000,24,25%,30252,80000,4619
40000,24,Median,50515,80000,4592
40000,25,First,46265,80000,3246
40000,25,25%,30490,80000,4800
40000,25,Median,53766,80000,4638
40000,26,First,46097,80000,3363
40000,26,25%,31373,80000,4790
40000,26,Median,52402,80000,4550
40000,27,First,45215,80000,3566
40000,27,25%,30138,80000,4593
40000,27,Median,52730,80000,4957
40000,28,First,45389,80000,3303
40000,28,25%,31035,80000,4535
40000,28,Median,52039,80000,4682
40000,29,First,46219,80000,3569
40000,29,25%,32199,80000,4962
40000,29,Median,51469,80000,4802
40000,30,First,45897,80000,3363
40000,30,25%,33218,80000,4628
40000,30,Median,50979,80000,4496
40000,31,First,45665,80000,3556
40000,31,25%,33109,80000,4708
40000,31,Median,50831,80000,4543
40000,32,First,45895,80000,3584
40000,32,25%,31741,80000,5713
40000,32,Median,50776,80000,5278
40000,33,First,44765,80000,3178
40000,33,25%,31082,80000,4471
40000,33,Median,51028,80000,4719
40000,34,First,45261,80000,3206
40000,34,25%,30853,80000,4750
40000,34,Median,51990,80000,5173
40000,35,First,46363,80000,3259
40000,35,25%,30602,80000,5593
40000,35,Median,51549,80000,4969
40000,36,First,46029,80000,3237
40000,36,25%,32943,80000,4680
40000,36,Median,50117,80000,4777
40000,37,First,45173,80000,3608
40000,37,25%,32423,80000,5057
40000,37,Median,50165,80000,4921
40000,38,First,45555,80000,3589
40000,38,25%,30695,80000,4737
40000,38,Median,51431,80000,4573
40000,39,First,44997,80000,3978
40000,39,25%,30703,80000,4547
40000,39,Median,49199,80000,4621
40000,40,First,45541,80000,3098
40000,40,25%,31493,80000,4379
40000,40,Median,50090,80000,4323
40000,41,First,45415,80000,3108
40000,41,25%,30723,80000,4349
40000,41,Median,52286,80000,4338
40000,42,First,46129,80000,3193
40000,42,25%,30283,80000,4510
40000,42,Median,51980,80000,4323
40000,43,First,44989,80000,3133
40000,43,25%,32097,80000,4667
40000,43,Median,51011,80000,4451
40000,44,First,45451,80000,3187
40000,44,25%,32892,80000,4512
40000,44,Median,51813,80000,4400
40000,45,First,45367,80000,3266
40000,45,25%,32055,80000,4552
40000,45,Median,51718,80000,4372
40000,46,First,45395,80000,3185
40000,46,25%,31310,80000,4472
40000,46,Median,51484,80000,4309
40000,47,First,45845,80000,3207
40000,47,25%,31679,80000,4986
40000,47,Median,53019,80000,4564
40000,48,First,45687,80000,3230
40000,48,25%,30779,80000,5103
40000,48,Median,51509,80000,4384
40000,49,First,45453,80000,3284
40000,49,25%,31310,80000,4564
40000,49,Median,53648,80000,4481
40000,50,First,45357,80000,3189
40000,50,25%,29869,80000,4456
40000,50,Median,51039,80000,4375
40000,51,First,45329,80000,3191
40000,51,25%,31116,80000,4473
40000,51,Median,52209,80000,4468
40000,52,First,45729,80000,3199
40000,52,25%,31588,80000,4473
40000,52,Median,51310,80000,4426
40000,53,First,45361,80000,3212
40000,53,25%,30721,80000,4424
40000,53,Median,52743,80000,5300
40000,54,First,46003,80000,5935
40000,54,25%,30914,80000,9020
40000,54,Median,52150,80000,8193
40000,55,First,45915,80000,5867
40000,55,25%,31499,80000,6327
40000,55,Median,51505,80000,4603
40000,56,First,45729,80000,3125
40000,56,25%,31434,80000,4529
40000,56,Median,50691,80000,4365
40000,57,First,45745,80000,3220
40000,57,25%,32373,80000,5310
40000,57,Median,51305,80000,4405
40000,58,First,45545,80000,3215
40000,58,25%,30555,80000,4605
40000,58,Median,51391,80000,4351
40000,59,First,45617,80000,3195
40000,59,25%,30841,80000,4510
40000,59,Median,51665,80000,4394
40000,60,First,45683,80000,3229
40000,60,25%,31581,80000,4702
40000,60,Median,50591,80000,4377
40000,61,First,45001,80000,3138
40000,61,25%,31379,80000,4872
40000,61,Median,52164,80000,4372
40000,62,First,45735,80000,3151
40000,62,25%,32064,80000,4535
40000,62,Median,51512,80000,4420
40000,63,First,46027,80000,3251
40000,63,25%,31428,80000,4841
40000,63,Median,50347,80000,4369
40000,64,First,45573,80000,3355
40000,64,25%,31228,80000,4457
40000,64,Median,51814,80000,4373
40000,65,First,45411,80000,3298
40000,65,25%,30831,80000,4576
40000,65,Median,50349,80000,4492
40000,66,First,45637,80000,3506
40000,66,25%,31595,80000,4514
40000,66,Median,50318,80000,4781
40000,67,First,45937,80000,3567
40000,67,25%,30562,80000,4382
40000,67,Median,51210,80000,4487
40000,68,First,46411,80000,3323
40000,68,25%,32091,80000,4572
40000,68,Median,50780,80000,4422
40000,69,First,46445,80000,3394
40000,69,25%,31136,80000,4459
40000,69,Median,50811,80000,4347
40000,70,First,45425,80000,3186
40000,70,25%,31461,80000,5064
40000,70,Median,51480,80000,4454
40000,71,First,44901,80000,3209
40000,71,25%,31758,80000,4415
40000,71,Median,51055,80000,4497
40000,72,First,45287,80000,3229
40000,72,25%,31966,80000,4553
40000,72,Median,50108,80000,4379
40000,73,First,45577,80000,3288
40000,73,25%,31186,80000,4505
40000,73,Median,50639,80000,4456
40000,74,First,45661,80000,3091
40000,74,25%,30891,80000,4841
40000,74,Median,50427,80000,4323
40000,75,First,45521,80000,3091
40000,75,25%,31674,80000,4396
40000,75,Median,52744,80000,4460
